구분,죄종,발생검거,건수
송파,폭력,발생,2433
송파,폭력,검거,2046
노원,살인,발생,6
노원,살인,검거,6
노원,강도,발생,3
노원,강도,검거,3
노원,"강간,추행",발생,156
노원,"강간,추행",검거,126
노원,절도,발생,1361
노원,절도,검거,654
노원,폭력,발생,1899
노원,폭력,검거,1513
방배,살인,발생,0
방배,살인,검거,0
방배,강도,발생,0
방배,강도,검거,0
방배,강간,발생,47
방배,강간,검거,37
방배,절도,발생,313
방배,절도,검거,159
방배,폭력,발생,339
방배,폭력,검거,304
은평,살인,발생,2
은평,살인,검거,2
은평,강도,발생,2
은평,강도,검거,2
은평,"강간,추행",발생,100
은평,"강간,추행",검거,83
은평,절도,발생,718
은평,절도,검거,425
은평,폭력,발생,865
은평,폭력,검거,780
도봉,살인,발생,2
도봉,살인,검거,2
도봉,강도,발생,2
도봉,강도,검거,1
도봉,강간,발생,72
도봉,강간,검거,64
도봉,절도,발생,772
도봉,절도,검거,376
도봉,폭력,발생,1012
도봉,폭력,검거,851
수서,살인,발생,4
수서,살인,검거,5
수서,강도,발생,12
수서,강도,검거,12
수서,"강간,추행",발생,150
수서,"강간,추행",검거,129
수서,절도,발생,855
수서,절도,검거,423
수서,폭력,발생,1198
수서,폭력,검거,1050
